"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0031081"	38.5307198597113	-2.27591154721357	0.331392302699431	-6.86591031188109	6.60685749126193e-12	1.62101990922318e-11	"Nep3"	"Q9W5Y0"	"CEC"
"FBgn0052826"	0	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0031085"	421.651685462265	11.5373656340551	0.996354048607871	11.5795909375933	5.22949953564279e-31	3.06445343411973e-30	"CG9570"	"Q9W5X6"	"Dmel\CG9570"
"FBgn0062565"	0	NA	NA	NA	NA	NA	"Or19b"	"Q8IRZ5"	"CG32825"
"FBgn0031088"	0.0578443615651064	0.0446484290549513	2.68292886271364	0.0163080636279557	0.98698862455281	NA	"CG15322"	"Q9W5X2"	"Dmel\CG15322"
"FBgn0041626"	0.115150168298447	-1.04477088115456	2.68331645836129	-0.389361751271388	0.697008562088487	NA	"Or19a"	"Q9I816"	"19A.1"
"FBgn0040784"	71.6676622241746	5.24174687025859	0.477836044865564	10.8943672619713	1.22615867185658e-27	6.0746945965182e-27	"karr"	"E2QDA1"	"CG15323"
"FBgn0031086"	0.473467582313374	1.65097161295363	2.44205212504012	0.675802284823007	0.499166183868395	0.536781727891858	"fd19B"	"Q9W5X5"	"CG9571"
"FBgn0031082"	182.900045061079	10.3533486010635	1.01764559282868	10.1738336127766	2.59490092308715e-24	1.09345628825706e-23	"CG17003"	"Q9W5X9"	"Dmel\CG17003"
"FBgn0031080"	0.637607903386892	1.22447539239225	1.75997379883985	0.696932879425217	0.485844800048556	0.523943099290793	"CG12655"	"Q9W5Y1"	"Dmel\CG12655"
"FBgn0052821"	0	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0053217"	45.9449806345316	0.676172162158313	0.257624406370752	2.6245081423745	0.00867742178098742	0.012251260772412	"CG33217"	"Q8MS38"	"BcDNA:RE15216"
"FBgn0052350"	30.0565260844871	-1.72956627618404	0.290780513952842	-5.94699347983801	2.73112285483406e-09	5.92578701926111e-09	"Vps11"	"Q8SX81"	"BcDNA:LD20292"
"FBgn0024733"	2139.90028114876	-2.33790025805431	0.0697298444067056	-33.5278085541149	1.89630163787662e-246	3.09313201337698e-244	"RpL10"	"M9PIM0"	"BcDNA:LD24589"
"FBgn0040372"	170.6764115891	-0.654685371244946	0.136042149073412	-4.81237427619003	1.49147699159636e-06	2.78538732082764e-06	"G9a"	"M9PGH7"	"CG2995"
"FBgn0000316"	140.323505651014	-1.63474492133085	0.136688169896931	-11.9593028608029	5.80471900084603e-33	3.69016324839181e-32	"cin"	"P39205"	"CG2945"
