"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"ontology"	"label"	"sel"	"experiment"	"frac"
"GO:0006511"	"ubiquitin-dependent protein catabolic process"	"189/3907"	"286/11205"	1.40117804326449e-27	1.92241627535888e-24	1.81784414560366e-24	"Rpn13R/Usp16-45/Prosbeta2R1/Usp30/CSN3/park/Rpn10/Rpn5/dgrn/Prosbeta2R2/Rpn11/Fbw5/CG11070/CG31633/CG13766/Rca1/CG13088/Usp14/CG5604/CG14937/CG6766/CG9934/Edem2/Prosalpha6T/CG31855/CG9426/fzy/Prosbeta5R2/elfless/CG9316/Pomp/CG10435/CG11982/Prosbeta3/trbd/FBXO11/Rpt3R/CG17721/CG6923/CG14739/CG8141/CG12402/eff/Der-2/CG14322/CG5823/CG7694/Usp8/Rpn7/Usp12-46/CG6688/Rpt5/RanBP3/Rpn9/Rpt2/CG10694/puf/CG14262/Rpn2/Usp1/Cul5/Trc8/Rpt6R/sip3/Cul2/CG11044/Ate1/CG16894/CG18605/Smurf/APC4/BTBD9/CG6758/CG11275/Prosalpha5/Prosbeta1/Diap2/CG30466/Rpn6/Usp20-33/Rpn13/fsd/Fsn/DUBAI/SkpB/PI31/CG7220/CG33144/dmpd/Uba1/CG8272/Vps25/Vps28/CSN4/Rpt1/p47/Rad23/Vsp37A/Prosalpha7/jet/ref(2)P/Npl4/Pink1/CG8188/CG34025/CG34308/CG34375/snama/Prosalpha2/ALiX/Ubi-p5E/Prosbeta7/Nedd4/CG42383/sinah/ctrip/scny/Ubr3/TER94/Cul3/Prosalpha3/Prosalpha3T/Rpn3/CG42797/CG43058/Ltn1/CG43089/rap/lute/RYBP/SkpF/Prosbeta5R1/fzr2/mr/CG15800/Rpn8/Prosalpha4T2/Roc1b/Usp10/CG43980/vih/Prosalpha4T1/Bruce/Topors/Ubc87F/Ubc7/CG1317/Usp5/ntc/ago/CG2247/Uch-L5R/Usp7/CG4661/CG8974/CG7058/SkpD/SkpC/SkpE/CG32221/Usp32/CG8786/CG7707/sina/Prosbeta6/CG7656/CG32847/Rpn12R/CG11261/Rpt4R/CG11658/CG32085/Ube3a/Ufd1-like/CG12362/Ubc4/pall/Uch-L5/CG4911/Cbl/Cdc27/CG8398/Usp47/CG4603/Usp2/morgue/CG4238/Uch/Plap"	189	"BP"	"tod.up.go"	"up"	"tod"	0.0483747120552854
"GO:0019941"	"modification-dependent protein catabolic process"	"189/3907"	"286/11205"	1.40117804326449e-27	1.92241627535888e-24	1.81784414560366e-24	"Rpn13R/Usp16-45/Prosbeta2R1/Usp30/CSN3/park/Rpn10/Rpn5/dgrn/Prosbeta2R2/Rpn11/Fbw5/CG11070/CG31633/CG13766/Rca1/CG13088/Usp14/CG5604/CG14937/CG6766/CG9934/Edem2/Prosalpha6T/CG31855/CG9426/fzy/Prosbeta5R2/elfless/CG9316/Pomp/CG10435/CG11982/Prosbeta3/trbd/FBXO11/Rpt3R/CG17721/CG6923/CG14739/CG8141/CG12402/eff/Der-2/CG14322/CG5823/CG7694/Usp8/Rpn7/Usp12-46/CG6688/Rpt5/RanBP3/Rpn9/Rpt2/CG10694/puf/CG14262/Rpn2/Usp1/Cul5/Trc8/Rpt6R/sip3/Cul2/CG11044/Ate1/CG16894/CG18605/Smurf/APC4/BTBD9/CG6758/CG11275/Prosalpha5/Prosbeta1/Diap2/CG30466/Rpn6/Usp20-33/Rpn13/fsd/Fsn/DUBAI/SkpB/PI31/CG7220/CG33144/dmpd/Uba1/CG8272/Vps25/Vps28/CSN4/Rpt1/p47/Rad23/Vsp37A/Prosalpha7/jet/ref(2)P/Npl4/Pink1/CG8188/CG34025/CG34308/CG34375/snama/Prosalpha2/ALiX/Ubi-p5E/Prosbeta7/Nedd4/CG42383/sinah/ctrip/scny/Ubr3/TER94/Cul3/Prosalpha3/Prosalpha3T/Rpn3/CG42797/CG43058/Ltn1/CG43089/rap/lute/RYBP/SkpF/Prosbeta5R1/fzr2/mr/CG15800/Rpn8/Prosalpha4T2/Roc1b/Usp10/CG43980/vih/Prosalpha4T1/Bruce/Topors/Ubc87F/Ubc7/CG1317/Usp5/ntc/ago/CG2247/Uch-L5R/Usp7/CG4661/CG8974/CG7058/SkpD/SkpC/SkpE/CG32221/Usp32/CG8786/CG7707/sina/Prosbeta6/CG7656/CG32847/Rpn12R/CG11261/Rpt4R/CG11658/CG32085/Ube3a/Ufd1-like/CG12362/Ubc4/pall/Uch-L5/CG4911/Cbl/Cdc27/CG8398/Usp47/CG4603/Usp2/morgue/CG4238/Uch/Plap"	189	"BP"	"tod.up.go"	"up"	"tod"	0.0483747120552854
"GO:0043632"	"modification-dependent macromolecule catabolic process"	"190/3907"	"292/11205"	1.87576031858622e-26	1.71569543806686e-23	1.62236813519826e-23	"Rpn13R/Usp16-45/Prosbeta2R1/Usp30/CSN3/park/Rpn10/Rpn5/dgrn/Prosbeta2R2/Rpn11/Fbw5/CG11070/CG31633/CG13766/Rca1/CG13088/Usp14/CG5604/CG14937/CG6766/CG9934/Edem2/Prosalpha6T/CG31855/CG9426/fzy/Prosbeta5R2/elfless/CG9316/Pomp/CG10435/CG11982/Prosbeta3/trbd/FBXO11/Rpt3R/CG17721/CG6923/CG14739/CG8141/CG12402/eff/Der-2/CG14322/CG5823/CG7694/Usp8/Rpn7/Usp12-46/CG6688/Rpt5/RanBP3/Rpn9/Rpt2/CG10694/puf/Trf4-2/CG14262/Rpn2/Usp1/Cul5/Trc8/Rpt6R/sip3/Cul2/CG11044/Ate1/CG16894/CG18605/Smurf/APC4/BTBD9/CG6758/CG11275/Prosalpha5/Prosbeta1/Diap2/CG30466/Rpn6/Usp20-33/Rpn13/fsd/Fsn/DUBAI/SkpB/PI31/CG7220/CG33144/dmpd/Uba1/CG8272/Vps25/Vps28/CSN4/Rpt1/p47/Rad23/Vsp37A/Prosalpha7/jet/ref(2)P/Npl4/Pink1/CG8188/CG34025/CG34308/CG34375/snama/Prosalpha2/ALiX/Ubi-p5E/Prosbeta7/Nedd4/CG42383/sinah/ctrip/scny/Ubr3/TER94/Cul3/Prosalpha3/Prosalpha3T/Rpn3/CG42797/CG43058/Ltn1/CG43089/rap/lute/RYBP/SkpF/Prosbeta5R1/fzr2/mr/CG15800/Rpn8/Prosalpha4T2/Roc1b/Usp10/CG43980/vih/Prosalpha4T1/Bruce/Topors/Ubc87F/Ubc7/CG1317/Usp5/ntc/ago/CG2247/Uch-L5R/Usp7/CG4661/CG8974/CG7058/SkpD/SkpC/SkpE/CG32221/Usp32/CG8786/CG7707/sina/Prosbeta6/CG7656/CG32847/Rpn12R/CG11261/Rpt4R/CG11658/CG32085/Ube3a/Ufd1-like/CG12362/Ubc4/pall/Uch-L5/CG4911/Cbl/Cdc27/CG8398/Usp47/CG4603/Usp2/morgue/CG4238/Uch/Plap"	190	"BP"	"tod.up.go"	"up"	"tod"	0.0486306629127208
"GO:0044257"	"cellular protein catabolic process"	"198/3907"	"314/11205"	5.77411539032787e-25	3.29212482694474e-22	3.11304576431594e-22	"Rpn13R/Usp16-45/Prosbeta2R1/Usp30/CSN3/park/Rpn10/Rich/Rpn5/dgrn/CG11999/Prosbeta2R2/Rpn11/Fbw5/CG11070/CG31633/CG13766/Rca1/CG13088/Usp14/CG5604/CG14937/CG6766/CG9934/Edem2/Prosalpha6T/CG31855/CG9426/fzy/Prosbeta5R2/elfless/CG9316/Pomp/CG10435/CG11982/Prosbeta3/trbd/FBXO11/Rpt3R/CG17721/CG6923/CG14739/CG8141/CG12402/eff/Der-2/CG14322/CG5823/CG7694/CG4572/Usp8/Rpn7/Usp12-46/CG6688/Rpt5/RanBP3/Rpn9/Rpt2/CG10694/puf/CG14262/Rpn2/Usp1/Cul5/Trc8/Rpt6R/sip3/Cul2/CG11044/Ate1/CG16894/CG18605/Smurf/APC4/BTBD9/stx/CG6758/CG11275/Prosalpha5/Prosbeta1/Diap2/CG30466/Rpn6/phyl/Usp20-33/Rpn13/fsd/Fsn/DUBAI/SkpB/PI31/CG7220/CG33144/dmpd/Uba1/CG8272/Vps25/Vps28/CSN4/Rpt1/p47/Rad23/Vsp37A/Prosalpha7/jet/ref(2)P/Npl4/Pink1/CG8188/CG34025/CG34308/CG34375/snama/Prosalpha2/ALiX/Ubi-p5E/Prosbeta7/Nedd4/CG42383/sinah/ctrip/scny/Ubr3/TER94/Cul3/Prosalpha3/Prosalpha3T/Rpn3/CG42797/CG43058/Ltn1/CG43089/rap/lute/RYBP/SkpF/Prosbeta5R1/yip3/fzr2/mr/CG15800/Rpn8/Prosalpha4T2/Roc1b/Usp10/CG43980/vih/Prosalpha4T1/Bruce/Topors/Ubc87F/Ubc7/CG1317/Usp5/ntc/ago/CG2247/Uch-L5R/Usp7/CG4661/CG8974/CG7058/SkpD/SkpC/SkpE/CG32221/Usp32/CG8786/Lon/CG7707/sina/Prosbeta6/CG7656/CG32847/Rpn12R/CG11261/Rpt4R/CG11658/CG32085/Ube3a/Ufd1-like/CG12362/Ubc4/pall/Uch-L5/CG4911/Cbl/Cdc27/CG8398/Usp47/CG4603/Usp2/morgue/Prosbeta4R1/Prosbeta4R2/CG4238/Uch/Plap"	198	"BP"	"tod.up.go"	"up"	"tod"	0.0506782697722037
"GO:0051603"	"proteolysis involved in cellular protein catabolic process"	"197/3907"	"312/11205"	5.99876972839785e-25	3.29212482694474e-22	3.11304576431594e-22	"Rpn13R/Usp16-45/Prosbeta2R1/Usp30/CSN3/park/Rpn10/Rpn5/dgrn/CG11999/Prosbeta2R2/Rpn11/Fbw5/CG11070/CG31633/CG13766/Rca1/CG13088/Usp14/CG5604/CG14937/CG6766/CG9934/Edem2/Prosalpha6T/CG31855/CG9426/fzy/Prosbeta5R2/elfless/CG9316/Pomp/CG10435/CG11982/Prosbeta3/trbd/FBXO11/Rpt3R/CG17721/CG6923/CG14739/CG8141/CG12402/eff/Der-2/CG14322/CG5823/CG7694/CG4572/Usp8/Rpn7/Usp12-46/CG6688/Rpt5/RanBP3/Rpn9/Rpt2/CG10694/puf/CG14262/Rpn2/Usp1/Cul5/Trc8/Rpt6R/sip3/Cul2/CG11044/Ate1/CG16894/CG18605/Smurf/APC4/BTBD9/stx/CG6758/CG11275/Prosalpha5/Prosbeta1/Diap2/CG30466/Rpn6/phyl/Usp20-33/Rpn13/fsd/Fsn/DUBAI/SkpB/PI31/CG7220/CG33144/dmpd/Uba1/CG8272/Vps25/Vps28/CSN4/Rpt1/p47/Rad23/Vsp37A/Prosalpha7/jet/ref(2)P/Npl4/Pink1/CG8188/CG34025/CG34308/CG34375/snama/Prosalpha2/ALiX/Ubi-p5E/Prosbeta7/Nedd4/CG42383/sinah/ctrip/scny/Ubr3/TER94/Cul3/Prosalpha3/Prosalpha3T/Rpn3/CG42797/CG43058/Ltn1/CG43089/rap/lute/RYBP/SkpF/Prosbeta5R1/yip3/fzr2/mr/CG15800/Rpn8/Prosalpha4T2/Roc1b/Usp10/CG43980/vih/Prosalpha4T1/Bruce/Topors/Ubc87F/Ubc7/CG1317/Usp5/ntc/ago/CG2247/Uch-L5R/Usp7/CG4661/CG8974/CG7058/SkpD/SkpC/SkpE/CG32221/Usp32/CG8786/Lon/CG7707/sina/Prosbeta6/CG7656/CG32847/Rpn12R/CG11261/Rpt4R/CG11658/CG32085/Ube3a/Ufd1-like/CG12362/Ubc4/pall/Uch-L5/CG4911/Cbl/Cdc27/CG8398/Usp47/CG4603/Usp2/morgue/Prosbeta4R1/Prosbeta4R2/CG4238/Uch/Plap"	197	"BP"	"tod.up.go"	"up"	"tod"	0.0504223189147684
"GO:0070647"	"protein modification by small protein conjugation or removal"	"193/3907"	"305/11205"	1.24696952314985e-24	5.70280728587196e-22	5.39259627116556e-22	"CG16781/rb/Usp16-45/Usp30/CG3781/CSN3/park/Mkrn1/dgrn/CG9855/Rpn11/bchs/Fbw5/CG11070/Rca1/CG8419/Uba4/CG4968/Cnot4/STUB1/Cand1/Usp14/CYLD/CG5604/Ubc2/CG9934/CG9426/CG9014/CG3473/CSN1a/CG17329/fzy/CG31807/elfless/bur/Ubc84D/e(y)2b/godzilla/CG11982/hyd/trbd/FBXO11/CG3925/CG6923/CG14739/KLHL18/CG8141/eff/m-cup/CG14322/CG5823/CG7694/CG5555/Usp8/CSN6/Usp12-46/Rad60/CG10254/puf/CG5111/CG6420/CG17991/CG14262/Usp1/Cul5/Trc8/CG2218/CG2224/sip3/Cul2/CG8335/CG13442/Fem-1/CG16894/Smurf/CG11700/CG10761/mei-P26/BTBD9/CG11275/Diap2/Usp20-33/SCCRO3/Den1/DUBAI/SkpB/CG9062/CG7220/CG33144/Uba1/CSN7/CSN4/CG30496/CG11023/Ubc10/Mul1/CG14983/CG33552/CycE/CG6091/CG13344/Pink1/nopo/CG8188/Ubi-p63E/klhl10/CG34308/snama/mib2/Ubi-p5E/Nedd4/ctrip/scny/Ubr3/APP-BP1/Cul3/Asx/CG42797/CG43058/CG43069/rap/lute/Rabex-5/SkpF/fzr2/mr/CG3356/gol/Roc1b/Usp10/Uba3/CG43980/vih/Bruce/Topors/Ubc87F/Ubc7/Sherpa/CG12084/Pex10/CG12099/CG1317/Usp5/CG10862/CG17030/Uch-L5R/Usp7/CG2574/CG12717/CG5334/CG5347/hiw/CG8974/CG6179/CG7058/SkpD/SkpC/SkpE/SCCRO4/Usp32/tey/CG8786/CSN1b/CG13025/roq/dbo/SCCRO/CG7656/CG7857/CG32847/CG13481/CG11261/CG32110/Ube3a/CG12362/Ubc4/pall/Uch-L5/CG4080/CG5087/Cbl/UbcE2M/velo/CG8398/Usp47/CG4603/CG1503/Usp2/CG3251/Atxn7/CG4238/Uch/CG5440"	193	"BP"	"tod.up.go"	"up"	"tod"	0.0493985154850269
"GO:0048232"	"male gamete generation"	"183/3907"	"295/11205"	5.65336784457262e-22	2.21612019507247e-19	2.09557168975511e-19	"Klp3A/CSN3/park/SAK/sa/Ddx1/aux/Hsp60C/tomb/TTLL3B/gudu/poe/PAPLA1/aust/pelo/Npc1a/Grip75/Bug22/nmd/spag4/bru1/Pkd2/ACXB/ACXA/CG12404/CG5204/Prosalpha6T/Ance/ProtB/ProtA/DCTN5-p25/ms(2)35Ci/nht/Syx5/twe/nesd/RacGAP84C/Mst84Da/Mst84Db/Mst84Dc/Mst84Dd/lds/skap/CG11985/HP1e/hyd/topi/Fmr1/Past1/Mst87F/soti/HtrA2/eff/Mst89B/Mps1/Dlc90F/hmw/Synd/CSN6/Tpl94D/CG4434/fzo/tbrd-1/Osbp/mfrn/Mst98Ca/Mst98Cb/WASp/Prtl99C/Ctr1C/gskt/heph/Cul2/exu/tbrd-2/fest/mip40/sub/dany/comr/mei-S332/ste24b/Psi/Pex13/Iswi/wuc/ox/Taz/achi/vis/EndoG/PI31/oys/dila/CSN7/Vps28/CSN4/mia/mael/polo/unc/dj/jar/CG6091/Rb97D/Cog3/His3.3B/tra2/ste24c/Cby/ACXC/eya/yuri/klhl10/ALiX/Mst36Fa/Cyt-c-d/Mst77F/Vrp1/gish/CG42355/eIF4G2/bond/asl/Cul3/Mst36Fb/didum/ms(2)34Fe/ana1/mtsh/milt/bel/nsr/Klp59D/ord/fzr2/bgcn/Pdk1/fwd/Tasp1/Dic61B/orb2/eIF4E-3/mlt/Sec8/Bruce/mfr/Topors/mil/sau/Mst77Y-7/Pen/Pex10/aly/Hsp83/ntc/Ack/shi/Grip84/pcm/Kap-alpha1/Rcd7/ms(3)76Cc/ms(3)76Ba/nes/CSN1b/Adgf-A2/ATPsynbetaL/Cep135/Pex1/can/nudE/Dronc/eIF-4E/Klp67A/bol/fan/CdsA/Rint1/mad2/blanks/Hydr2/Hsp60B"	183	"BP"	"tod.up.go"	"up"	"tod"	0.0468390069106732
"GO:0030163"	"protein catabolic process"	"205/3907"	"342/11205"	7.39663645071822e-22	2.53704630259635e-19	2.39904063829216e-19	"Rpn13R/Usp16-45/Prosbeta2R1/Usp30/Ide/CSN3/park/Rpn10/SAK/Rich/Rpn5/dgrn/CG11999/Prosbeta2R2/Rpn11/Fbw5/CG11070/CG31633/CG13766/Rca1/CG13088/Usp14/CG5604/CG14937/CG6766/CG9934/Edem2/Prosalpha6T/CG31855/CG9426/fzy/Prosbeta5R2/elfless/CG9316/Pomp/CG10435/CG11982/Prosbeta3/trbd/FBXO11/Rpt3R/CG6567/CG17721/CG6923/CG14739/CG8141/CG12402/eff/Der-2/CG14322/CG5823/CG7694/CG4538/CG4572/Usp8/Rpn7/Usp12-46/CG6688/Rpt5/RanBP3/Rpn9/Rpt2/CG10694/puf/CG14262/Rpn2/Usp1/Cul5/Trc8/Rpt6R/sip3/Cul2/CG11044/Ate1/CG16894/CG18605/Smurf/APC4/BTBD9/stx/CG6758/CG11275/Prosalpha5/Prosbeta1/Diap2/CG30466/Rpn6/CG10104/phyl/Usp20-33/Rpn13/fsd/Fsn/DUBAI/SkpB/PI31/CG7220/CG33144/dmpd/Uba1/Su(var)2-10/CG8272/Vps25/Vps28/CSN4/Rpt1/p47/Rad23/Vsp37A/Prosalpha7/jet/ref(2)P/Npl4/Pink1/CG8188/CG34025/CG34308/CG34375/snama/Prosalpha2/ALiX/Ubi-p5E/Prosbeta7/Nedd4/CG42383/sinah/ctrip/scny/Ubr3/TER94/Cul3/Prosalpha3/Prosalpha3T/Rpn3/CG42797/CG43058/Ltn1/CG43089/rap/lute/RYBP/SkpF/Prosbeta5R1/yip3/fzr2/mr/CG15800/Rpn8/Prosalpha4T2/Roc1b/Usp10/CG43980/vih/Prosalpha4T1/Bruce/Topors/Ubc87F/Ubc7/CG1317/Usp5/ntc/ago/CG2247/Uch-L5R/Usp7/CG4661/CG8974/CG7058/SkpD/SkpC/SkpE/CG32221/Usp32/CG8786/Lon/CG7707/sina/Prosbeta6/CG7656/CG32847/Rpn12R/CG11261/Rpt4R/CG18815/CG11658/CG32085/Ube3a/Ufd1-like/CG12362/Ubc4/pall/Uch-L5/CG4911/Cbl/Cdc27/CG8398/Usp47/CG4603/Usp2/morgue/Prosbeta4R1/Prosbeta4R2/CG4238/Uch/Plap"	205	"BP"	"tod.up.go"	"up"	"tod"	0.0524699257742513
"GO:0007283"	"spermatogenesis"	"161/3907"	"254/11205"	7.74999913469585e-21	2.36288862506727e-18	2.23435647567547e-18	"CSN3/park/SAK/sa/Ddx1/aux/Hsp60C/TTLL3B/gudu/poe/PAPLA1/pelo/Npc1a/Bug22/nmd/spag4/bru1/Pkd2/ACXB/ACXA/CG12404/CG5204/Prosalpha6T/Ance/ProtB/ProtA/DCTN5-p25/ms(2)35Ci/nht/Syx5/twe/RacGAP84C/Mst84Da/Mst84Db/Mst84Dc/Mst84Dd/lds/skap/CG11985/HP1e/hyd/topi/Fmr1/Past1/Mst87F/soti/HtrA2/eff/Mst89B/Mps1/Dlc90F/hmw/CSN6/Tpl94D/CG4434/fzo/tbrd-1/Osbp/mfrn/Mst98Ca/Mst98Cb/WASp/Prtl99C/Ctr1C/heph/Cul2/exu/tbrd-2/mip40/dany/comr/ste24b/Psi/Pex13/Iswi/ox/Taz/achi/vis/EndoG/oys/dila/CSN7/Vps28/CSN4/mia/mael/polo/unc/dj/jar/CG6091/Rb97D/tra2/ste24c/Cby/ACXC/eya/yuri/klhl10/ALiX/Mst36Fa/Cyt-c-d/Mst77F/Vrp1/gish/CG42355/eIF4G2/asl/Cul3/Mst36Fb/didum/ms(2)34Fe/ana1/mtsh/milt/bel/nsr/Klp59D/bgcn/Pdk1/fwd/Tasp1/Dic61B/orb2/eIF4E-3/mlt/Sec8/Bruce/mfr/mil/Mst77Y-7/Pen/Pex10/aly/Hsp83/ntc/Ack/shi/Grip84/pcm/Kap-alpha1/Rcd7/ms(3)76Cc/ms(3)76Ba/nes/CSN1b/Adgf-A2/ATPsynbetaL/Cep135/Pex1/can/Dronc/eIF-4E/bol/fan/CdsA/mad2/blanks/Hydr2/Hsp60B"	161	"BP"	"tod.up.go"	"up"	"tod"	0.041208088047095
"GO:0044265"	"cellular macromolecule catabolic process"	"237/3907"	"432/11205"	3.73149191532452e-18	1.02392138156505e-15	9.68223954871046e-16	"MTPAP/Rpn13R/Usp16-45/Prosbeta2R1/Usp30/CSN3/park/Rpn10/Rich/Rpn5/dgrn/CG11999/Prosbeta2R2/Rpn11/Fbw5/CG11070/CG31633/CG13766/Rca1/CG13088/pelo/Cnot4/Usp14/CG5604/CG14937/CG6766/CG9934/Edem2/Prosalpha6T/CG31855/Ski6/CG9426/Smg5/CG15262/Mtr4/fzy/Prosbeta5R2/elfless/CG9316/Pomp/Tailor/CG10435/CG11982/Prosbeta3/trbd/FBXO11/Rpt3R/Tengl4/CG17721/CG6923/CG14739/CG8141/CG12402/Rrp6/eff/Der-2/CG14322/CG5823/CG7694/Prp18/CG4572/Usp8/CG7907/Rpn7/Usp12-46/CG6688/Rpt5/RanBP3/Rpn9/Rpt2/CG10694/twin/Nab2/puf/Trf4-2/Ude/Smg6/CG14262/Rpn2/Usp1/Cul5/Trc8/Rpt6R/sip3/CG2053/Cul2/CG11044/Ate1/CG16894/CG18605/Smurf/APC4/BTBD9/stx/CG6758/CG11275/Prosalpha5/Prosbeta1/Diap2/CG30466/Rpn6/phyl/Usp20-33/Rpn13/fsd/Fsn/DUBAI/EndoG/SkpB/PI31/CG7220/CG33144/CG12917/dmpd/Uba1/CG8272/Vps25/Vps28/CSN4/rnh1/Rpt1/p47/Rad23/Vsp37A/Prosalpha7/jet/ref(2)P/Npl4/Pink1/Mtr3/CG8188/CG34025/CG34308/CG34375/Not1/snama/Prosalpha2/ALiX/Ubi-p5E/pix/Prosbeta7/Nedd4/CG42383/sinah/ctrip/scny/Ubr3/TER94/Cul3/Prosalpha3/Prosalpha3T/Rpn3/CG42797/CG43058/Ltn1/CG43089/rap/lute/RYBP/SkpF/Prosbeta5R1/yip3/fzr2/mr/Upf3/Pym/CG15800/Rpn8/Prosalpha4T2/CG16940/Roc1b/Usp10/nonC/CG43980/vih/Prosalpha4T1/Patr-1/Bruce/Topors/Ubc87F/Ubc7/CG1317/Usp5/ntc/ago/CG2247/Upf1/Uch-L5R/Usp7/CG4661/CG8974/CG7058/Rcd-1/pcm/SkpD/SkpC/SkpE/CG32221/Usp32/CG8786/Lon/CG7707/sina/Prosbeta6/CG7656/CG32847/Rpn12R/CG11261/Rpt4R/Pop2/CG11658/CG32085/Ube3a/Ufd1-like/CG12362/Ubc4/pall/Uch-L5/bol/CG4911/smg/CG6576/Cbl/Cdc27/CG8398/Usp47/CG4603/Usp2/morgue/Prosbeta4R1/Prosbeta4R2/Tengl1/Tengl2/Tengl3/CG4238/Uch/Plap"	237	"BP"	"tod.up.go"	"up"	"tod"	0.0606603532121833
