"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0031081"	38.5836394619513	-2.26593372304418	0.330747299497589	-6.85095154665261	7.33603630189892e-12	1.91665979821432e-11	"Nep3"	"Q9W5Y0"	"CEC"
"FBgn0052826"	0	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0031085"	421.721893624786	11.8442569587235	1.02282225439635	11.5799758049983	5.20607463745567e-31	3.25383591360842e-30	"CG9570"	"Q9W5X6"	"Dmel\CG9570"
"FBgn0062565"	0	NA	NA	NA	NA	NA	"Or19b"	"Q8IRZ5"	"CG32825"
"FBgn0031088"	0.0578664227803852	0.0582042155072915	3.53268688968671	0.0164759055429487	0.986854724070887	NA	"CG15322"	"Q9W5X2"	"Dmel\CG15322"
"FBgn0041626"	0.115134187010751	-1.37538952139538	3.5338115409304	-0.389208509130983	0.69712190937953	NA	"Or19a"	"Q9I816"	"19A.1"
"FBgn0040784"	71.679569308201	5.2730027024238	0.483966965604131	10.8953773236187	1.21262878081115e-27	6.40827671090201e-27	"karr"	"E2QDA1"	"CG15323"
"FBgn0031086"	0.473462904224731	2.02113783348006	2.99013986651128	0.675934211678935	0.499082415342605	0.570024304805269	"fd19B"	"Q9W5X5"	"CG9571"
"FBgn0031082"	182.930740242688	10.6413248007012	1.04585360683007	10.1747746828111	2.56994067458068e-24	1.15508619132282e-23	"CG17003"	"Q9W5X9"	"Dmel\CG17003"
"FBgn0031080"	0.637670523907848	1.34002781097818	1.92417575892458	0.69641653303393	0.486168012114821	0.557591693360404	"CG12655"	"Q9W5Y1"	"Dmel\CG12655"
"FBgn0052821"	0	NA	NA	NA	NA	NA	NA	NA	NA
"FBgn0053217"	45.9465983246807	0.677873460627289	0.258257833274219	2.6247934168468	0.0086701553547978	0.0130579781404058	"CG33217"	"Q8MS38"	"BcDNA:RE15216"
"FBgn0052350"	30.0523997734375	-1.7327511025873	0.291760806217433	-5.93894404478708	2.86863746784003e-09	6.62995438319967e-09	"Vps11"	"Q8SX81"	"BcDNA:LD20292"
"FBgn0024733"	2139.58723646129	-2.33763857251346	0.0698044380269657	-33.4883947007842	7.11185456298322e-246	1.2369225531062e-243	"RpL10"	"M9PIM0"	"BcDNA:LD24589"
"FBgn0040372"	170.664703331676	-0.654420324307943	0.136213216020257	-4.8043820080617	1.55230208899772e-06	3.08797317255373e-06	"G9a"	"M9PGH7"	"CG2995"
"FBgn0000316"	140.306848022862	-1.63492316907722	0.136919076209611	-11.9407990057886	7.25231470169607e-33	4.8985414410995e-32	"cin"	"P39205"	"CG2945"
"FBgn0024989"	13.3954922058158	0.0690058861518873	0.398834719654558	0.173018753762599	0.862636686560637	0.87958230892088	"CG3777"	"O76874"	"BEST:CK01670"
"FBgn0040371"	660.684521566722	12.4923711943395	1.02216428050652	12.2214906474222	2.38667829338967e-34	1.7223193146625e-33	"CG12470"	"Q9V3G9"	"Dmel\CG12470"
