"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0031085"	421.721893624786	11.8442569587235	1.02282225439635	11.5799758049983	5.20607463745567e-31	3.25383591360842e-30	"CG9570"	"Q9W5X6"	"Dmel\CG9570"
"FBgn0040784"	71.679569308201	5.2730027024238	0.483966965604131	10.8953773236187	1.21262878081115e-27	6.40827671090201e-27	"karr"	"E2QDA1"	"CG15323"
"FBgn0031082"	182.930740242688	10.6413248007012	1.04585360683007	10.1747746828111	2.56994067458068e-24	1.15508619132282e-23	"CG17003"	"Q9W5X9"	"Dmel\CG17003"
"FBgn0040371"	660.684521566722	12.4923711943395	1.02216428050652	12.2214906474222	2.38667829338967e-34	1.7223193146625e-33	"CG12470"	"Q9V3G9"	"Dmel\CG12470"
"FBgn0029522"	38.841938643506	0.849695088141948	0.237677436550217	3.57499264749274	0.000350237738583806	0.000596611273015311	"CG13373"	"A8JUS8"	"Dmel\CG13373"
"FBgn0052817"	6.74318146247404	1.96225968330261	0.662298307291357	2.96280341003405	0.00304851200141041	0.00479196372261515	"CG32817"	"Q8IRY8"	"Dmel\CG32817"
"FBgn0029524"	13.1818523969183	2.24889034895118	0.509753633523653	4.41172009585455	1.02552634625481e-05	1.94113955056358e-05	"CG3176"	"M9PDE1"	"BcDNA:RH59219"
"FBgn0023536"	107.11388102176	2.35674955400121	0.184584577149642	12.7678573713697	2.47884406932686e-37	1.98249810899599e-36	"CG3156"	"Q8SWW9"	"Dmel\CG3156"
"FBgn0040370"	13.4310653215401	1.68626332626795	0.445869954341107	3.78196222878453	0.000155596975767312	0.000271859415951535	"CG13375"	"Q9W5G7"	"Dmel\CG13375"
"FBgn0000108"	19.4766081474076	1.33406533458865	0.352500986007285	3.78457192332813	0.000153973375612709	0.000269159565002369	"Appl"	"M9NE22"	"APP"
"FBgn0040382"	122.902592598834	0.600932964501907	0.142390143647518	4.22032697705183	2.4394822920201e-05	4.51123643234942e-05	"CG5273"	"Q9W5D6"	"Dmel\CG5273"
"FBgn0027343"	34.1030008942832	1.77380609178389	0.281781849225283	6.29496220803682	3.07474761516901e-10	7.45097570236723e-10	"fz3"	"A8JUT5"	"CG16785"
"FBgn0025616"	105.34470889345	9.84475691986094	1.03767095452849	9.48735904854762	2.36961491692782e-21	9.16882820574154e-21	"CG13359"	"Q9W5D2"	"Dmel\CG13359"
"FBgn0029539"	254.591907639497	11.1152810406568	1.02478654173488	10.8464354165303	2.07355057078373e-27	1.08452930500832e-26	"CG11663"	"Q9W5C5"	"BcDNA:AT05678"
"FBgn0040339"	73.2613731643593	0.515884876574574	0.18122806063694	2.84660595473713	0.00441880214908798	0.00684954213994459	"MED22"	"Q9V439"	"144358_at"
"FBgn0042146"	21.8711397798752	4.11143290477385	0.590404411027092	6.96375709256886	3.31315682925433e-12	8.78139946642641e-12	"CG18823"	"Q9I7Y5"	"Dmel\CG18823"
"FBgn0029552"	70.9950917592822	9.27645100120805	1.04376565377308	8.88748443453266	6.25079743551412e-19	2.18706281548164e-18	"CG14631"	"Q9W5B8"	"Dmel\CG14631"
"FBgn0040337"	130.407630984713	1.3381034078782	0.185624400546884	7.20866116704429	5.6504667085396e-13	1.54256730727864e-12	"CG3021"	"Q9W5B6"	"Dmel\CG3021"
"FBgn0040365"	93.4878489447396	9.67416558147769	1.03492483119942	9.34769877950065	8.95753567282921e-21	3.3765854635027e-20	"CG14628"	"Q9V3V1"	"Dmel\CG14628"
"FBgn0040338"	13.4783028556723	5.44479878130015	1.04665952668856	5.20207253883841	1.9707826872148e-07	4.11966440321487e-07	"TfIIA-S-2"	"H0RNC2"	"CG11639"
"FBgn0040345"	112.574618277212	9.93716854462781	1.0291331342752	9.65586299155201	4.64233872357896e-22	1.8591003807046e-21	"CG3708"	"Q7KW25"	"152685_at"
"FBgn0040364"	30.8388168359981	5.62782814738016	0.759550839852137	7.40941600232545	1.26856793422165e-13	3.57247866698206e-13	"CG11378"	"Q9V3I0"	"Dmel\CG11378"
