"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"ontology"	"label"	"sel"	"experiment"	"frac"
"GO:0048232"	"male gamete generation"	"161/2781"	"289/10001"	4.77245435416156e-24	1.28474471214029e-20	1.04893523068309e-20	"Mps1/bru1/eya/E(bx)/exu/Hsp83/Grip91/hyd/sti/Lam/lds/twe/mei-S332/mod(mdg4)/Mst98Ca/nos/ord/Raf/polo/sub/sw/tra2/unc/Mst98Cb/aly/fwd/Klp67A/bgcn/Rb97D/CdsA/LamC/Sas-4/bol/pelo/heph/jar/poe/scat/Hsp60B/can/fzo/Iswi/Klp3A/Syx5/Ance/Pex1/Mtor/mia/Psi/Hydr2/Ddx1/eIF-4E/mael/Past1/snRNP-U1-70K/pcm/Pdk1/Mst89B/asun/Osbp/Nup154/sns/chico/WASp/Kap-alpha1/alphaCOP/SAK/Dronc/Grip84/Grip128/Taz/nes/CSN1b/Ack/Fmr1/gammaCOP/Cog3/Hsp60C/TTLL3B/gudu/PAPLA1/aust/spag4/CG5204/nesd/Cul2/dila/oys/PI31/Prp8/vis/achi/Pex13/ste24b/tbrd-2/mip40/fest/comr/nsr/Klp59D/fzr2/Tudor-SN/ntc/nudE/CG6091/Cep135/ATPsynbetaL/ms(3)76Ba/ms(3)76Cc/aux/skap/topi/Cap-H2/HtrA2/hmw/CG4434/tbrd-1/mfrn/klhl10/Myt1/ACXC/ACXB/ACXA/Pkd2/Adgf-A2/yuri/RacGAP84C/gskt/Cap-D3/Synd/ALiX/Mst36Fa/Vrp1/Rcd7/eIF4G2/Diap1/bond/Incenp/asl/Cul3/Mst36Fb/scra/didum/ms(2)34Fe/brun/ana1/mtsh/milt/hts/BubR1/Dark/Dic61B/orb2/mlt/Exo84/Sec8/Bruce/mfr/CG16941/Topors/Pen"	161	"BP"	"tcp.up.go"	"up"	"tcp"	0.0578928443006113
"GO:0007283"	"spermatogenesis"	"133/2781"	"248/10001"	3.92736640314655e-18	5.28623517863526e-15	4.31596897356316e-15	"Mps1/bru1/eya/E(bx)/exu/Hsp83/hyd/Lam/lds/twe/Mst98Ca/nos/Raf/polo/sw/tra2/unc/Mst98Cb/aly/fwd/bgcn/Rb97D/CdsA/bol/pelo/heph/jar/poe/scat/Hsp60B/can/fzo/Iswi/Syx5/Ance/Pex1/Mtor/mia/Psi/Hydr2/Ddx1/eIF-4E/mael/Past1/snRNP-U1-70K/pcm/Pdk1/Mst89B/asun/Osbp/Nup154/sns/chico/WASp/Kap-alpha1/SAK/Dronc/Grip84/Taz/nes/CSN1b/Ack/Fmr1/Hsp60C/TTLL3B/gudu/PAPLA1/spag4/CG5204/Cul2/dila/oys/Prp8/vis/achi/Pex13/ste24b/tbrd-2/mip40/comr/nsr/Klp59D/Tudor-SN/ntc/CG6091/Cep135/ATPsynbetaL/ms(3)76Ba/ms(3)76Cc/aux/skap/topi/HtrA2/hmw/CG4434/tbrd-1/mfrn/klhl10/Myt1/ACXC/ACXB/ACXA/Pkd2/Adgf-A2/yuri/RacGAP84C/ALiX/Mst36Fa/Vrp1/Rcd7/eIF4G2/Diap1/asl/Cul3/Mst36Fb/scra/didum/ms(2)34Fe/brun/ana1/mtsh/milt/hts/Dark/Dic61B/orb2/mlt/Exo84/Sec8/Bruce/mfr/CG16941/Pen"	133	"BP"	"tcp.up.go"	"up"	"tcp"	0.0478245235526789
"GO:0007017"	"microtubule-based process"	"198/2781"	"423/10001"	1.4681178387586e-17	1.31739107397938e-14	1.07558949029051e-14	"asp/aurA/BicC/Cp190/cos/CycB/dsh/dup/ft/DCTN1-p150/Hsp83/kl-2/Grip91/Lam/lds/Map205/mud/Myb/ncd/polo/sub/sw/thr/alphaTub84D/betaTub85D/fwd/neb/Klp61F/Klp67A/Klp64D/tam/Klc/Sas-4/pelo/heph/jar/Klp3A/pav/Wee1/Mtor/cnn/Dhc36C/Dhc62B/Dhc93AB/Dhc98D/tilB/Orc5/Apc/dpa/mael/nompB/Khc-73/CLIP-190/chb/Nup154/syd/WASp/TBPH/SRPK/SAK/Grip84/Grip163/Grip128/Apc2/tacc/spd-2/Tnks/TBCD/ana2/htt/ball/msps/ric8a/Kap3/Fmr1/CG18109/Tektin-A/Pink1/CG1571/feo/sofe/Klp10A/Mks1/CG8509/CG17003/IFT57/Cep97/TTLL3B/cdc14/Klp31E/CG10859/Grip71/Tbce/Nop17l/dila/wash/mars/Rcd1/fest/CG9313/nsr/Klp59C/Klp59D/CG3121/Slik/Oseg4/Strip/Dnah3/ssp6/CG14838/CG7716/CG3967/nudE/Poc1/mop/Cep135/CG6664/CG14651/CG17387/CG2104/kat-60L1/CG9492/Whamy/Lkb1/CG3259/CG7794/hmw/Lrrk/CG17083/RanBP3/Miro/spas/Root/atl/Mink/Nup358/Vps33B/CG3339/dgt6/pins/Kat60/cmet/cana/Unc-76/armi/bchs/yuri/btz/Liprin-alpha/HEATR2/CG32232/CG32392/CG32396/Synd/Sdic2/Sdic4/Sdic1/CG34425/del/tum/spn-F/IKKepsilon/beta-Spec/gwl/Pp2A-29B/Rcd7/rempA/bond/Incenp/asl/TER94/CG17528/didum/brun/Ank2/Dhc64C/ana1/mtsh/Skeletor/milt/Patronin/hts/Rcd5/Dic61B/orb2/Sgt1/Oseg1/mlt/ana3/CG45105/tau/Exo84/Sec8/Zmynd10/Topors/dop/kl-3/kl-5"	198	"BP"	"tcp.up.go"	"up"	"tcp"	0.0711974110032362
"GO:0000226"	"microtubule cytoskeleton organization"	"155/2781"	"314/10001"	1.6271337641771e-16	1.09506102329119e-13	8.94067184105731e-14	"asp/aurA/BicC/dsh/dup/ft/DCTN1-p150/Hsp83/kl-2/Grip91/Lam/lds/Map205/mud/Myb/ncd/polo/sub/sw/thr/fwd/Klp61F/Klp67A/Klp64D/Sas-4/pelo/heph/jar/Klp3A/pav/Wee1/Mtor/cnn/Dhc62B/tilB/Orc5/Apc/dpa/mael/Khc-73/chb/Nup154/WASp/TBPH/SRPK/SAK/Grip84/Grip163/Grip128/Apc2/tacc/spd-2/Tnks/TBCD/ana2/htt/ball/msps/ric8a/Kap3/Fmr1/CG18109/CG1571/feo/sofe/Klp10A/Mks1/CG8509/CG17003/Cep97/TTLL3B/cdc14/CG10859/Grip71/Tbce/Nop17l/dila/wash/mars/Rcd1/fest/CG9313/nsr/Klp59D/Slik/Strip/Dnah3/ssp6/CG7716/CG3967/nudE/Poc1/mop/Cep135/CG6664/CG14651/CG17387/CG2104/kat-60L1/CG9492/Whamy/Lkb1/hmw/Lrrk/CG17083/RanBP3/Miro/spas/Root/atl/Mink/Nup358/Vps33B/dgt6/pins/Kat60/armi/bchs/yuri/btz/HEATR2/CG32232/Synd/del/tum/spn-F/IKKepsilon/beta-Spec/gwl/Pp2A-29B/Rcd7/bond/Incenp/asl/TER94/brun/Ank2/Dhc64C/ana1/mtsh/Skeletor/Patronin/hts/Rcd5/orb2/Sgt1/mlt/ana3/CG45105/tau/Exo84/Sec8/Zmynd10/Topors/kl-3"	155	"BP"	"tcp.up.go"	"up"	"tcp"	0.0557353469974829
"GO:0070647"	"protein modification by small protein conjugation or removal"	"149/2781"	"303/10001"	9.76734710378075e-16	5.25873968067556e-13	4.29352015846194e-13	"bur/fzy/hyd/mr/neur/otu/Ubi-p63E/gol/msl-2/faf/CycE/Diap2/Cul1/Usp47/Rca1/Cbl/bon/Uba1/ari-2/SkpD/CG7857/CSN1b/Tnks/CG10254/Cand1/Ulp1/CG11070/Usp1/CSN1a/CG9014/trbl/Smurf/Mkrn1/CG16781/Usp16-45/Usp30/CG11700/Pink1/CG10761/BTBD9/Usp7/Uch-L5R/CG12717/CG9941/CG5347/hiw/CG8184/CG8188/CG7058/Usp39/HERC2/CG1812/Usp2/CG11023/CG4238/Atxn7/Hrs/Fbw5/Uba4/CG5604/CYLD/CG9934/CG9426/Cul2/Cul4/CG9062/DUBAI/SCCRO3/CG13344/Usp20-33/CG16894/Fem-1/CG13442/CG3295/fzr2/CG3356/Sherpa/CG12099/CG1317/Usp5/CG10862/Mul1/CG7376/CG8398/velo/CG5087/CG12362/CG6091/CG7656/roq/CG13025/CG8786/tey/Usp32/CG9855/godzilla/CG11982/trbd/CG3925/CG6923/CG14739/m-cup/CG5823/CG14322/CG5555/Usp8/Usp12-46/Rad60/puf/CG5111/CG6420/CG14262/Cul5/Trc8/CG2218/CG2224/sip3/klhl10/dbo/POSH/bchs/CG12084/CG30496/Cnot4/CG32110/Usp10/CG33144/Ube3a/snama/mib2/Bre1/Nedd4/Diap1/ctrip/scny/pic/APP-BP1/Cul3/Asx/CG42797/rap/lute/Rabex-5/mib1/qin/CG43980/Bruce/Topors/Ubc7"	149	"BP"	"tcp.up.go"	"up"	"tcp"	0.0535778496943545
"GO:0000280"	"nuclear division"	"152/2781"	"312/10001"	1.40277044763397e-15	5.63252469455626e-13	4.59869850716879e-13	"Mps1/bru1/aurA/CycA/CycB/fzy/DCTN1-p150/Hmr/kni/knrl/Grip91/hyd/sti/Lam/lds/twe/mei-9/mei-S332/mod(mdg4)/mud/mus301/mus304/Blm/Myb/ncd/nos/okr/ord/polo/rec/rod/rux/spn-E/sub/thr/mei-41/aly/fwd/neb/Klp61F/Klp67A/bgcn/wapl/Xpc/yem/CycE/LamC/Sas-4/bol/pelo/can/Klp3A/pav/Syx5/oaf/Mtor/cnn/barr/bif/mia/eIF-4E/Orc5/Rbf/mael/mei-P22/Rca1/JIL-1/chb/Nup154/alphaCOP/Cdc16/Mad1/SRPK/SAK/Su(var)2-HP2/Grip84/Grip163/Grip128/tacc/RecQ5/ball/msps/c(2)M/CG18109/gammaCOP/trbl/Klp10A/CG8188/mio/Cog3/Spindly/Bub1/cdc14/aust/Grip71/nesd/Mcm10/PI31/Lhr/fest/fzr2/Slik/Asciz/ssp6/eco/CG7716/nudE/Cep135/Msh6/topi/Cap-H2/cal1/trem/RanBP3/spas/Nup358/Vps33B/dgt6/Cap-D2/Kat60/cmet/cana/Myt1/ida/ago/Brca2/Cap-D3/sunn/APC4/Synd/Zwilch/sra/sls/Cap-G/gwl/eIF4G2/bond/Incenp/Hr39/scra/nej/brun/Dhc64C/Xpd/mtsh/rap/BubR1/orb2/Exo84/Sec8/Cenp-C/Topors"	152	"BP"	"tcp.up.go"	"up"	"tcp"	0.0546565983459187
"GO:0033043"	"regulation of organelle organization"	"169/2781"	"358/10001"	1.46462380616247e-15	5.63252469455626e-13	4.59869850716879e-13	"Mps1/bru1/capu/Cp190/CycA/dsh/fzy/kni/knrl/Arpc1/dre4/sti/Lam/mle/msl-3/mod(mdg4)/mu2/Myb/ncd/pn/rod/rux/spir/sub/su(Hw)/Su(var)3-7/z/Syt1/mei-41/Ets97D/wapl/hop/ash1/CycE/LamC/jar/Klp3A/pav/Arp2/Mtor/cnn/mof/Rbf/Usp47/Rca1/pcm/JIL-1/Abi/RN-tre/chb/Hira/Parg/Ocrl/trr/WASp/DAAM/LKRSDH/Cdc16/TBPH/Sbf/Tsc1/Mad1/SAK/Drp1/tacc/Tnks/TBCD/GABA-B-R2/htt/msps/Syt4/trbl/ssh/CG4041/Pink1/Miga/rictor/CG17003/Tbc1d15-17/mio/Atxn7/Spindly/Cep97/Bub1/CG9175/cdc14/TBC1D16/PICK1/dila/wash/CG8155/Rtf1/Klp59D/CG9899/yki/Slik/CG2469/Asciz/Mul1/GAPcenA/CG3967/RhoGAP68F/Nprl3/sstn/Cep135/Prp3/Ada2b/CG8866/Whamy/Arfip/twf/CG12241/cal1/Vps39/RhoGAP92B/Lrrk/RanBP3/Nup98-96/spas/atl/polybromo/Nup358/Vps33B/dgt6/cana/lilli/ida/ago/SCAR/Bap170/mask/Brca2/CG31935/IRSp53/Sec16/APC4/Zwilch/tum/IKKepsilon/step/e(y)3/Vrp1/beta-Spec/Nedd4/Su(var)3-3/gwl/Utx/scny/asl/plx/CoRest/nej/Dhc64C/Xpd/CG42795/Sec23/mtsh/rap/Evi5/Patronin/Lpt/Ada2a/BubR1/ebi/mwh/Atf-2/mlt/Sec5/Cenp-C"	169	"BP"	"tcp.up.go"	"up"	"tcp"	0.0607695073714491
"GO:0048285"	"organelle fission"	"155/2781"	"328/10001"	2.05804712908912e-14	6.92532858938489e-12	5.65421369149748e-12	"Mps1/bru1/aurA/CycA/CycB/fzy/DCTN1-p150/Hmr/kni/knrl/Grip91/hyd/sti/Lam/lds/twe/mei-9/mei-S332/mod(mdg4)/mud/mus301/mus304/Blm/Myb/ncd/nos/okr/ord/polo/rec/rod/rux/spn-E/sub/thr/mei-41/aly/fwd/neb/Klp61F/Klp67A/bgcn/wapl/Xpc/yem/CycE/LamC/Sas-4/bol/pelo/can/Klp3A/pav/Syx5/oaf/Mtor/cnn/barr/bif/mia/eIF-4E/Orc5/Rbf/mael/mei-P22/Rca1/JIL-1/chb/Nup154/alphaCOP/Cdc16/Mad1/SRPK/SAK/Su(var)2-HP2/Grip84/Grip163/Grip128/Drp1/tacc/RecQ5/ball/msps/c(2)M/CG18109/gammaCOP/trbl/Pink1/Klp10A/CG8188/mio/Cog3/Spindly/Bub1/cdc14/aust/Grip71/nesd/Mcm10/PI31/Lhr/fest/fzr2/Slik/Asciz/Mul1/ssp6/eco/CG7716/nudE/Cep135/Msh6/topi/Cap-H2/cal1/trem/RanBP3/spas/Nup358/Vps33B/dgt6/Cap-D2/Kat60/cmet/cana/Myt1/ida/ago/Brca2/Cap-D3/sunn/APC4/Synd/Zwilch/sra/sls/Cap-G/gwl/eIF4G2/bond/Incenp/Hr39/scra/nej/brun/Dhc64C/Xpd/mtsh/rap/BubR1/orb2/Exo84/Sec8/Cenp-C/Topors"	155	"BP"	"tcp.up.go"	"up"	"tcp"	0.0557353469974829
"GO:0051321"	"meiotic cell cycle"	"106/2781"	"201/10001"	4.64493156533074e-14	1.38935064154115e-11	1.13434118227024e-11	"Mps1/asp/fzy/Grip91/hyd/sti/Lam/lds/twe/mei-9/mei-S332/mod(mdg4)/mud/mus301/mus304/Blm/ncd/nos/okr/ord/polo/rec/rux/sub/mei-41/aly/fwd/neb/Klp67A/bgcn/wapl/Xpc/yem/dap/LamC/Sas-4/bol/pelo/can/Klp3A/pav/Syx5/oaf/cnn/bif/mia/eIF-4E/mael/mei-P22/Rca1/JIL-1/Nup154/alphaCOP/SRPK/SAK/Grip84/Grip163/Grip128/tacc/ball/msps/c(2)M/CG18109/gammaCOP/Klp10A/mio/Cog3/Bub1/aust/Grip71/nesd/Mcm10/PI31/fest/fzr2/CG7716/nudE/Msh6/CG6664/topi/Cap-H2/cal1/trem/Cap-D2/Myt1/tefu/Brca2/Cap-D3/sunn/Synd/sra/gwl/eIF4G2/bond/Incenp/Hr39/scra/brun/mtsh/hts/BubR1/orb2/Exo84/Sec8/Cenp-C/Topors"	106	"BP"	"tcp.up.go"	"up"	"tcp"	0.0381157856886012
"GO:1903046"	"meiotic cell cycle process"	"101/2781"	"189/10001"	6.12127911642586e-14	1.64784833814184e-11	1.34539271527339e-11	"Mps1/asp/fzy/Grip91/hyd/sti/Lam/lds/twe/mei-9/mei-S332/mod(mdg4)/mud/mus301/mus304/Blm/ncd/nos/okr/ord/polo/rec/rux/sub/mei-41/aly/fwd/Klp67A/bgcn/wapl/Xpc/yem/dap/LamC/Sas-4/bol/pelo/can/Klp3A/pav/Syx5/oaf/cnn/bif/mia/eIF-4E/mael/mei-P22/Rca1/JIL-1/Nup154/alphaCOP/SRPK/SAK/Grip128/tacc/ball/msps/c(2)M/gammaCOP/Klp10A/mio/Cog3/Bub1/aust/Grip71/nesd/Mcm10/PI31/fest/fzr2/nudE/Msh6/CG6664/topi/Cap-H2/cal1/trem/Cap-D2/Myt1/tefu/Brca2/Cap-D3/sunn/Synd/sra/gwl/eIF4G2/bond/Incenp/Hr39/scra/brun/mtsh/hts/BubR1/orb2/Exo84/Sec8/Cenp-C/Topors"	101	"BP"	"tcp.up.go"	"up"	"tcp"	0.0363178712693276
