"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0000018"	147.137704044812	1.08455157682673	0.344974224578077	3.14386264119645	0.00166733683027754	0.00312189019077195	"abo"	"Q9VKM4"	"Abo"
"FBgn0000028"	146.397684937279	1.2825131611256	0.21390560518266	5.99569684034425	2.02614701023671e-09	6.66679587941770e-09	"acj6"	"P24350"	"ACJ6"
"FBgn0000032"	328.714583490696	0.937983909151247	0.112746737572539	8.31938847496819	8.84183072799079e-17	4.53014427811591e-16	"Acph-1"	"Q9VAD0"	"ACP"
"FBgn0000036"	10.381619876659	2.38310634107497	0.584637343014794	4.07621300546084	4.57750903384729e-05	0.000102892609189791	"nAChRalpha1"	"A0A0B4KGU3"	"ALS"
"FBgn0000037"	8.31410816403317	2.85342347335477	0.585208253799598	4.87591119029554	1.08307331387424e-06	2.85171855319046e-06	"mAChR-A"	"P16395"	"Acr60C"
"FBgn0000038"	30.8654926193158	2.7581966862112	0.322026875438263	8.56511333862251	1.07969589242946e-17	5.80857167054779e-17	"nAChRbeta1"	"E8NHB5"	"AChR"
"FBgn0000046"	926.858535460292	2.51461238683684	0.146273935484654	17.1911173272607	3.0950960717698e-66	7.18096238516097e-65	"Act87E"	"A0A0B4LH50"	"Act87e"
"FBgn0000057"	559.694237993694	2.12855938290298	0.314354092603327	6.77121574996937	1.27704664641282e-11	4.84659060694531e-11	"adp"	"Q7K7W5"	"CG5124"
"FBgn0000063"	140.008436517112	2.07707667654313	0.256944351994319	8.08376078486073	6.27994572153747e-16	3.09750451426475e-15	"Mps1"	"A0A0B4KG66"	"Ald/Mps1"
"FBgn0000108"	32.6082382370416	1.26434098905296	0.301360994850325	4.19543673752775	2.72346296582901e-05	6.25696388474582e-05	"Appl"	"M9NE22"	"APP"
"FBgn0000114"	3005.76411406843	1.6267299350267	0.348055319792072	4.67376834233853	2.95722881854315e-06	7.45090151600776e-06	"bru1"	"Q960Z4"	"ARET"
"FBgn0000119"	130.037267850352	1.59759347075152	0.372357988112685	4.29047723361327	1.7828956379743e-05	4.17082553760955e-05	"arr"	"A1Z9D7"	"Arr"
"FBgn0000120"	104.206948326862	1.34692383079154	0.315630562681405	4.26740623388591	1.97758848701159e-05	4.60421491261494e-05	"Arr1"	"M9NES0"	"3H10"
"FBgn0000140"	427.278247624034	3.52891412869845	0.17290129573714	20.4099923812221	1.36305944881812e-92	5.47423653954138e-91	"asp"	"H0RNM3"	"ASP"
"FBgn0000147"	532.487523615575	1.42345465728239	0.275171031857089	5.17298150054425	2.30387831548316e-07	6.41899444605857e-07	"aurA"	"Q9VGF9"	"87A7-9/2"
"FBgn0000179"	13.0667350162849	2.7728887147609	0.554265232755917	5.0028191394462	5.64979417743452e-07	1.52491573598089e-06	"bi"	"E1JJD8"	"BI"
"FBgn0000182"	8.83680624737854	1.89167920670826	0.491470340233739	3.84902007679364	0.000118591288382819	0.000255351550876546	"BicC"	"E2QCR4"	"BG:DS00913.2"
"FBgn0000239"	402.602664686577	1.53801058599474	0.185920367030266	8.27241582276117	1.31271541253973e-16	6.66653513427042e-16	"bur"	"Q9VIE7"	"CG9242"
"FBgn0000247"	301.92166792279	2.96601369436941	0.213863808087126	13.8687032691435	9.80330546011937e-44	1.29328222031575e-42	"ca"	"Q9VAG5"	"CG18133"
