"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0000024"	22.3219690758415	-2.53181588468038	0.656920055304725	-3.85407001085687	0.000116170352483915	0.000237205558275682	"Ace"	"E1JIJ8"	"ACE"
"FBgn0000042"	3751.76887066605	-2.27921086275649	0.226264489348147	-10.0732150649125	7.25663836793257e-24	4.93297012458395e-23	"Act5C"	"P10987"	"A"
"FBgn0000053"	138.003068552132	-1.46851445784848	0.318514746173056	-4.610506971789	4.0168816848927e-06	9.55879273545321e-06	"ade3"	"P00967"	"143062_at"
"FBgn0000071"	77.6830440702099	-3.81190471502004	0.652657059988431	-5.84059370335718	5.20151188132659e-09	1.59152106227788e-08	"Ama"	"A4V2I0"	"AMA"
"FBgn0000077"	10.7831704098769	-2.78846363684192	0.872424050700757	-3.19622508641542	0.00139238443985486	0.00250703536768172	"amx"	"M9NF00"	"BcDNA:GH02974"
"FBgn0000083"	359.933334015785	-3.06237745358594	0.297292002395552	-10.3009076225044	6.97995941000349e-25	4.9212361902934e-24	"AnxB9"	"A0A0B4KH34"	"ANXB9"
"FBgn0000084"	94.5371640938274	-0.715687401888219	0.241794831587546	-2.95989536744541	0.00307743542488987	0.00532720879217916	"AnxB10"	"P22465"	"ANXB10"
"FBgn0000100"	3856.77934993807	-2.40847969650641	0.0867623060687437	-27.7595168413126	1.33753648631458e-169	1.95650969642715e-167	"RpLP0"	"M9PG76"	"AP3"
"FBgn0000109"	108.06289423388	-5.78843263730972	0.546353028341024	-10.5946747561481	3.15435576228588e-26	2.3610994642363e-25	"Aprt"	"P12426"	"BcDNA:LP07986"
"FBgn0000115"	254.802293117838	-1.51993660524446	0.217128105094082	-7.00018362240979	2.55627256409838e-12	9.82764572537e-12	"Arl1"	"P25160"	"72CDd"
"FBgn0000116"	2577.32621927621	-1.79157964518157	0.132251994943707	-13.5467116843429	8.28596488136759e-42	1.01616060226953e-40	"Argk"	"A8JNP2"	"AK"
"FBgn0000150"	7386.535369322	-4.10197061700143	0.206592174464264	-19.8554017238972	9.89679796478028e-88	3.52366639561283e-86	"awd"	"A0A0B4LJ12"	"1084/08"
"FBgn0000152"	24.1653233817363	-1.68227563620383	0.438902487861558	-3.83291433229349	0.000126634062320378	0.000257834001447544	"Axs"	"O97132"	"CG9703"
"FBgn0000158"	69.9208576151402	-1.05263274012674	0.22494202051252	-4.67957359735795	2.87472155126039e-06	6.94843606487208e-06	"bam"	"B5RIV8"	"BAM"
"FBgn0000173"	580.508793300965	-3.18593176497632	0.227305526729756	-14.0160769991488	1.24298202820341e-44	1.67306483419264e-43	"ben"	"E1JJN1"	"BEN"
"FBgn0000181"	3427.95900619702	-1.14013870436749	0.12800714870849	-8.90683618743766	5.25095582111177e-19	2.91904096264277e-18	"bic"	"Q7KM15"	"107/12"
"FBgn0000183"	293.606760042662	-1.15447346499423	0.31813121208878	-3.62892234752513	0.00028460682730971	0.000555175367989587	"BicD"	"M9NDR2"	"BIC-D"
"FBgn0000229"	228.50830247623	-1.14108679240355	0.247224137545975	-4.61559621050899	3.91968400366718e-06	9.33664576977108e-06	"bsk"	"E1JHD6"	"BSK"
"FBgn0000253"	3489.81400995427	-1.90710319882861	0.35520236682517	-5.36906106756684	7.91476180810557e-08	2.19741877686279e-07	"Cam"	"A0A0B4LF57"	"3909"
"FBgn0000259"	645.246474147337	-1.03987255233607	0.250419782642639	-4.15251759011396	3.28837468949902e-05	7.13951307317733e-05	"CkIIbeta"	"A4V4C1"	"And"
"FBgn0000273"	269.61748781721	-2.38379351272733	0.413948539751615	-5.75867114824877	8.47786814444153e-09	2.5591694963119e-08	"Pka-C1"	"P12370"	"6353"
"FBgn0000289"	697.033134877969	-1.04209900232834	0.231099789516732	-4.50930312185717	6.50409218542022e-06	1.5191647407308e-05	"cg"	"A8DYD2"	"CG8367"
"FBgn0000308"	2284.64708548119	-1.67470965876655	0.295048085043355	-5.67605669604825	1.37835111683082e-08	4.09358143577372e-08	"chic"	"M9NEU5"	"CG9553"
"FBgn0000318"	1332.09568618022	-2.09475555360314	0.124988537059676	-16.7595813414712	4.82006286624039e-63	1.01246337818382e-61	"cl"	"Q9VMQ9"	"BcDNA:RE06767"
"FBgn0000326"	24.3280490407992	-1.09863575445133	0.327224349983537	-3.3574388779643	0.000786681344462117	0.0014601892987486	"clt"	"Q9W2F4"	"CG9858"
"FBgn0000339"	619.575796274383	-2.46106988115222	0.156418884988286	-15.7338410981291	8.86652194772771e-56	1.59715790752763e-54	"cni"	"M9PDJ6"	"BG:DS02740.13"
"FBgn0000384"	71.2393061153884	-2.9872833289069	0.451605461726016	-6.61480779592353	3.72034805150686e-11	1.33201845158787e-10	"cta"	"M9PDM5"	"CG17678"
"FBgn0000426"	738.314816688487	-4.25544961603238	0.155684515453198	-27.3338013330661	1.6826302032995e-164	2.22052318459339e-162	"SmF"	"Q24297"	"BcDNA:GM23968"
"FBgn0000464"	70.5084013912021	-5.6954590862608	0.706488343492429	-8.06164622349757	7.52737817769816e-16	3.53813002150342e-15	"Lar"	"M9NCY3"	"CG10443"
"FBgn0000479"	107.259223204228	-3.35134790648597	0.560550900786109	-5.97866830966837	2.24969096931462e-09	7.09994750674521e-09	"dnc"	"M9PDN2"	"CG10791"
"FBgn0000520"	24.5618004103591	-1.04368583695264	0.318969195094557	-3.27205840878535	0.00106767516246165	0.00195073651579337	"dwg"	"Q9W4V9"	"CG2711"
"FBgn0000533"	14.1566727653156	-3.61347657463321	0.785667862899023	-4.59924192558914	4.24031128310485e-06	1.00766528260278e-05	"ea"	"A0A0B4KGQ4"	"CG4920"
"FBgn0000566"	381.978272869642	-3.95323788859487	0.23381712315055	-16.9073925610207	3.96884015089948e-64	8.51337248623156e-63	"Eip55E"	"Q7JXZ2"	"CG5345"
"FBgn0000575"	322.011612412719	-3.47249649197611	0.430508113600205	-8.06604192180423	7.26138850803926e-16	3.41707433628312e-15	"emc"	"P18491"	"0094/26"
"FBgn0000591"	5.4496496774806	-4.84045532395345	1.22776714563036	-3.94248644067459	8.06412106641936e-05	0.000167734270802463	"E(spl)m8-HLH"	"P13098"	"CG8365"
"FBgn0000611"	119.607534394613	-1.16865714093592	0.254595623118328	-4.59024835785478	4.42718912490949e-06	1.04919974947347e-05	"exd"	"M9PHV1"	"CG8933"
"FBgn0000617"	135.893436607195	-1.69964406699368	0.213061958021625	-7.97722917209451	1.496548050209e-15	6.94556187981171e-15	"e(y)1"	"A8WHK8"	"CG6474"
"FBgn0000618"	141.461581199284	-4.12721970218924	0.373955203825334	-11.0366687238747	2.54286690727523e-28	2.03245208171353e-27	"e(y)2"	"A0A1B2AIW8"	"CG15191"
"FBgn0000644"	5.00445305898281	-2.60232546543559	0.902971449273597	-2.88195763833845	0.00395212862445378	0.00675528560178705	"Fcp3C"	"C4XVH9"	"CG4015"
"FBgn0000658"	26.5319172307311	-5.36606472433429	0.949410432206998	-5.65199679959314	1.5859454471962e-08	4.67466950094902e-08	"fj"	"P54360"	"CG10917"
"FBgn0000662"	108.437320870403	-1.14690922085831	0.34493918122837	-3.3249606982136	0.00088430999743433	0.00163043396793473	"fl(2)d"	"A0A0B4K713"	"CG6315"
"FBgn0000721"	85.7052810151008	-1.98118979741162	0.422072925759805	-4.6939513920376	2.67977733988776e-06	6.49923625321162e-06	"for"	"P32023"	"142251_at"
"FBgn0000723"	106.179522012201	-1.66481908782764	0.494920450454022	-3.36381146970265	0.000768740376372364	0.0014284170354357	"FER"	"A0A0B4KGK6"	"CG8874"
"FBgn0001090"	518.510770939	-1.5280790905533	0.414716991617621	-3.68463101690857	0.000229034191550427	0.000452441282071874	"bnb"	"P29746"	"Bnb"
