"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0000024"	22.3219690758415	-1.80839468282912	0.582557297658574	-3.10423487972334	0.00190771816678505	0.00354374286514478	"Ace"	"E1JIJ8"	"ACE"
"FBgn0000042"	3751.76887066605	-1.98859409986314	0.225371461969936	-8.82362869939769	1.10809209168491e-18	6.26684346505042e-18	"Act5C"	"P10987"	"A"
"FBgn0000053"	138.003068552132	-1.15335523101353	0.305532797084505	-3.77489828266958	0.000160072966707357	0.000340168456209488	"ade3"	"P00967"	"143062_at"
"FBgn0000071"	77.6830440702099	-3.27345846697967	0.615706149797563	-5.31659212443459	1.05728704009308e-07	3.03163800854526e-07	"Ama"	"A4V2I0"	"AMA"
"FBgn0000077"	10.7831704098769	-3.20002185005181	0.811533169646641	-3.94318059906925	8.04080573344941e-05	0.000176427845026291	"amx"	"M9NF00"	"BcDNA:GH02974"
"FBgn0000083"	359.933334015785	-2.86925512341185	0.287503974097794	-9.97987986919398	1.86692675070683e-23	1.27657151903127e-22	"AnxB9"	"A0A0B4KH34"	"ANXB9"
"FBgn0000084"	94.5371640938274	-0.85958715766281	0.227599861185894	-3.77674728439634	0.00015888980193977	0.000337880441758984	"AnxB10"	"P22465"	"ANXB10"
"FBgn0000100"	3856.77934993807	-2.2311719123026	0.0845101672042038	-26.4012246823672	1.32651546449502e-153	1.54447777613819e-151	"RpLP0"	"M9PG76"	"AP3"
"FBgn0000109"	108.06289423388	-5.22953365269992	0.429944587873983	-12.1632735943002	4.8764613285081e-34	4.8462937133983e-33	"Aprt"	"P12426"	"BcDNA:LP07986"
"FBgn0000115"	254.802293117838	-1.53916283551752	0.208825987377834	-7.37055217525524	1.69922745328283e-13	7.28297724066611e-13	"Arl1"	"P25160"	"72CDd"
"FBgn0000116"	2577.32621927621	-1.55233864436845	0.13047831072456	-11.8972926285461	1.22249101206541e-32	1.17180010831738e-31	"Argk"	"A8JNP2"	"AK"
"FBgn0000150"	7386.535369322	-4.28009488855063	0.205641015776516	-20.8134300075725	3.27084887799617e-96	1.42647227184362e-94	"awd"	"A0A0B4LJ12"	"1084/08"
"FBgn0000152"	24.1653233817363	-2.11545353411376	0.407528922815753	-5.19092858366319	2.09247879554101e-07	5.85183966377499e-07	"Axs"	"O97132"	"CG9703"
"FBgn0000158"	69.9208576151402	-0.753722030310126	0.192036946350908	-3.92488031408733	8.67728696182735e-05	0.000189443400709704	"bam"	"B5RIV8"	"BAM"
"FBgn0000173"	580.508793300965	-2.99564566390206	0.218841727393122	-13.6886401857026	1.18710052056958e-42	1.50504422642843e-41	"ben"	"E1JJN1"	"BEN"
"FBgn0000181"	3427.95900619702	-1.19273933150386	0.127119694375747	-9.38280521646242	6.42403813487117e-21	4.0003664361948e-20	"bic"	"Q7KM15"	"107/12"
"FBgn0000183"	293.606760042662	-0.991041047979319	0.313170754239412	-3.16453894421345	0.00155328873277579	0.00291911554977899	"BicD"	"M9NDR2"	"BIC-D"
"FBgn0000229"	228.50830247623	-0.885498319723846	0.238482832205597	-3.71304848879208	0.000204777634341369	0.000429346267541105	"bsk"	"E1JHD6"	"BSK"
"FBgn0000253"	3489.81400995427	-1.97387500941958	0.35479254490879	-5.56346247333643	2.64473757570418e-08	7.94799066380813e-08	"Cam"	"A0A0B4LF57"	"3909"
"FBgn0000259"	645.246474147337	-0.917486650980201	0.247734413212369	-3.70350908896008	0.000212637559301156	0.000444943654590433	"CkIIbeta"	"A4V4C1"	"And"
"FBgn0000273"	269.61748781721	-2.0481906250199	0.406624507133212	-5.03705652042488	4.72745220832955e-07	1.28471297592956e-06	"Pka-C1"	"P12370"	"6353"
"FBgn0000289"	697.033134877969	-0.962995991246094	0.228488785036179	-4.21463132684439	2.50186538959873e-05	5.77084217728053e-05	"cg"	"A8DYD2"	"CG8367"
"FBgn0000308"	2284.64708548119	-1.62632206779813	0.294295793540614	-5.52614785360054	3.27338300835389e-08	9.76781184082276e-08	"chic"	"M9NEU5"	"CG9553"
"FBgn0000318"	1332.09568618022	-2.10999189744668	0.121531036136961	-17.3617535447389	1.60738180851393e-67	3.84892123242458e-66	"cl"	"Q9VMQ9"	"BcDNA:RE06767"
"FBgn0000326"	24.3280490407992	-1.10499230628302	0.27289798837666	-4.04910388990441	5.14141191567809e-05	0.000114936865636552	"clt"	"Q9W2F4"	"CG9858"
"FBgn0000339"	619.575796274383	-2.30736374805622	0.148504746771901	-15.537306370417	1.93966393744591e-54	3.38600756948088e-53	"cni"	"M9PDJ6"	"BG:DS02740.13"
"FBgn0000384"	71.2393061153884	-2.08110908462147	0.407030504269311	-5.11290692661332	3.17238627029959e-07	8.74093663837866e-07	"cta"	"M9PDM5"	"CG17678"
"FBgn0000426"	738.314816688487	-4.07270399380781	0.137275644762436	-29.6680740480649	1.98301479667576e-193	4.74838505370039e-191	"SmF"	"Q24297"	"BcDNA:GM23968"
"FBgn0000464"	70.5084013912021	-5.88808412929948	0.621887431179701	-9.46808672130577	2.85016169927127e-21	1.79778340583756e-20	"Lar"	"M9NCY3"	"CG10443"
"FBgn0000479"	107.259223204228	-3.10637243216487	0.539623414396941	-5.75655605240262	8.58472855628743e-09	2.68412885212722e-08	"dnc"	"M9PDN2"	"CG10791"
"FBgn0000520"	24.5618004103591	-1.28748056258392	0.274911880761966	-4.6832481703426	2.82364303557963e-06	7.12847697723117e-06	"dwg"	"Q9W4V9"	"CG2711"
"FBgn0000533"	14.1566727653156	-2.92242369721246	0.612953179050314	-4.76777639319915	1.8627035499122e-06	4.79796443108092e-06	"ea"	"A0A0B4KGQ4"	"CG4920"
"FBgn0000565"	69.7493177161621	-0.90252377630657	0.268565311356316	-3.36053741173281	0.000777909944864178	0.00152399739275568	"Eip71CD"	"M9PI66"	"CG7266"
"FBgn0000566"	381.978272869642	-3.2351617064703	0.209002167910976	-15.479082053581	4.80276877058405e-54	8.31540770361284e-53	"Eip55E"	"Q7JXZ2"	"CG5345"
"FBgn0000575"	322.011612412719	-3.16306266787347	0.420531456378909	-7.52158398591583	5.4116546183354e-14	2.4013744322131e-13	"emc"	"P18491"	"0094/26"
"FBgn0000591"	5.4496496774806	-5.97649404880018	1.22503335038327	-4.87863783212952	1.06821003464173e-06	2.81491975698468e-06	"E(spl)m8-HLH"	"P13098"	"CG8365"
"FBgn0000611"	119.607534394613	-0.987619697608013	0.238897062531412	-4.134080541397	3.56378490031107e-05	8.09956915649137e-05	"exd"	"M9PHV1"	"CG8933"
"FBgn0000617"	135.893436607195	-1.70352731355637	0.195472947237335	-8.71490064294178	2.91013772965035e-18	1.61701216843225e-17	"e(y)1"	"A8WHK8"	"CG6474"
"FBgn0000618"	141.461581199284	-3.82890177063593	0.335017313547715	-11.4289668497703	2.99652798622325e-30	2.6390656955697e-29	"e(y)2"	"A0A1B2AIW8"	"CG15191"
"FBgn0000644"	5.00445305898281	-2.86925254563236	0.75999052405733	-3.7753793696195	0.000159764326722954	0.000339569430655002	"Fcp3C"	"C4XVH9"	"CG4015"
"FBgn0000658"	26.5319172307311	-4.51520340970195	0.717508528220091	-6.29289162722946	3.1160589785304e-10	1.08374635507068e-09	"fj"	"P54360"	"CG10917"
"FBgn0000721"	85.7052810151008	-1.64568988254367	0.402870201645875	-4.08491339349602	4.40932596370787e-05	9.92880692076234e-05	"for"	"P32023"	"142251_at"
"FBgn0000723"	106.179522012201	-1.48461022834545	0.484302442776241	-3.06546095418185	0.00217334753132394	0.00401192051200467	"FER"	"A0A0B4KGK6"	"CG8874"
"FBgn0000826"	7.47611687230744	-1.84458889896223	0.529843836206212	-3.481382197762	0.000498833150479619	0.00099916217057084	"png"	"O46308"	"CG11420"
"FBgn0001090"	518.510770939	-1.15693238741949	0.411944161526941	-2.80846895154704	0.00497776821156225	0.00871710450847751	"bnb"	"P29746"	"Bnb"
"FBgn0001091"	1438.72352338013	-3.77216699906263	0.234267017015517	-16.1019978276019	2.46998789593111e-58	4.77117448816768e-57	"Gapdh1"	"P07486"	"BEST:GH12586"
"FBgn0001092"	554.691409349978	-2.59656411235059	0.302850719390977	-8.57374259361904	1.00175191735561e-17	5.40298919811305e-17	"Gapdh2"	"M9PJN8"	"CG8893"
"FBgn0001098"	645.99647240481	-1.88067811993744	0.188378337811079	-9.98351584258875	1.79974168852516e-23	1.23129497407401e-22	"Gdh"	"P54385"	"CG5320"
"FBgn0001099"	184.147384659708	-2.00026172379116	0.371740852704972	-5.38079608209929	7.41571600026995e-08	2.15213473037791e-07	"gdl"	"M9PFK4"	"CG33088"
"FBgn0001105"	1057.72065930442	-2.23796889562827	0.361164753325882	-6.19653184597703	5.77208553739143e-10	1.9734250418921e-09	"Gbeta13F"	"A4V4I0"	"CG10545"
"FBgn0001120"	19.6747384253856	-4.59991898110427	0.50751310852888	-9.06364565525801	1.26161765108022e-19	7.45747070789897e-19	"gnu"	"Q9VUI0"	"CG5272"
"FBgn0001123"	74.472818215767	-2.75138798579108	0.441177023020207	-6.23647162528013	4.47550448310754e-10	1.5400929337071e-09	"Galphas"	"P20354"	"CG2835"
"FBgn0001145"	29.8524872267614	-1.37219877750672	0.469926218392204	-2.920030259647	0.0034999739970048	0.00626578783975002	"Gs2"	"X2JDA5"	"CG1743"
"FBgn0001149"	3523.20872095641	-4.33842011429492	0.303124544656165	-14.3123352786097	1.83254734899348e-46	2.58409537845291e-45	"GstD1"	"P20432"	"CG10045"
"FBgn0001168"	79.9615207823035	-2.25691626306682	0.508192416135296	-4.44106639809823	8.95141668990491e-06	2.15400889669289e-05	"h"	"P14003"	"8247"
"FBgn0001185"	35.9360326739174	-1.00073538640007	0.352825938060866	-2.83634301916724	0.00456334055512969	0.00803459419882782	"her"	"Q9VJJ6"	"CG4694"
"FBgn0001187"	1.47024657480681	-4.66673503021353	1.53009812392352	-3.04995801069735	0.00228873362104057	0.00421022153712507	"Hex-C"	"Q7JYW9"	"CG8094"
"FBgn0001197"	1036.52041235368	-1.32460921985055	0.116445086636754	-11.3753981220575	5.54492540411664e-30	4.84980346682593e-29	"His2Av"	"A0A0B4KH25"	"5499"
"FBgn0001224"	4668.50421952159	-3.75168248848681	0.304904514508223	-12.3044504425848	8.57178643398801e-35	8.70276333069934e-34	"Hsp23"	"M9NE68"	"23"
"FBgn0001225"	3079.02406747652	-1.17856246312137	0.156125576167526	-7.54881097672783	4.39249828283355e-14	1.96078774911856e-13	"Hsp26"	"P02517"	"26"
