"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0000008"	18.7472705563301	0.300334340923132	0.43116214779876	0.696569359013653	0.486072337087051	0.549018908230894	"a"	"Q9W283"	"Arc"
"FBgn0000014"	247.12384913774	-2.81343849929569	0.53103943842731	-5.29798409629948	NA	NA	"abd-A"	"E1JIM9"	"ABD-A"
"FBgn0000015"	134.341734701372	-6.05272025579516	0.845796141285345	-7.15624009184639	NA	NA	"Abd-B"	"A0A0B4KGT1"	"9"
"FBgn0000017"	406.087282139703	-0.714731105946886	0.438654067719424	-1.62937302659199	0.103234075322955	0.137687016203009	"Abl"	"A8JNU2"	"4674"
"FBgn0000018"	147.137704044812	0.910948354361631	0.350978494830817	2.5954534758625	0.00944661910515069	0.0152312619595796	"abo"	"Q9VKM4"	"Abo"
"FBgn0000024"	22.3219690758415	-2.53181588468038	0.656920055304725	-3.85407001085687	0.000116170352483915	0.000237205558275682	"Ace"	"E1JIJ8"	"ACE"
"FBgn0000028"	146.397684937279	1.75237092096977	0.218418420177331	8.02299970646728	1.03193597126409e-15	4.80764951155689e-15	"acj6"	"P24350"	"ACJ6"
"FBgn0000032"	328.714583490696	0.786027441265912	0.120670724033266	6.51382054398899	7.32630189251653e-11	2.56483942552028e-10	"Acph-1"	"Q9VAD0"	"ACP"
"FBgn0000036"	10.381619876659	3.04692358243775	0.600350684561394	5.07523962376054	3.8700797552485e-07	1.01373545433597e-06	"nAChRalpha1"	"A0A0B4KGU3"	"ALS"
"FBgn0000037"	8.31410816403317	3.32921434849158	0.611840807714624	5.44130810909298	5.28907450557782e-08	1.49093692993314e-07	"mAChR-A"	"P16395"	"Acr60C"
"FBgn0000038"	30.8654926193158	2.31948899604791	0.354315915955273	6.54638668938797	5.89458346826464e-11	2.07317896547512e-10	"nAChRbeta1"	"E8NHB5"	"AChR"
"FBgn0000039"	0.680244462585221	1.46459588805202	1.83638387718644	0.797543425558692	0.425135492953261	NA	"nAChRalpha2"	"P17644"	"Acr96Ab"
"FBgn0000042"	3751.76887066605	-2.27921086275649	0.226264489348147	-10.0732150649125	7.25663836793257e-24	4.93297012458395e-23	"Act5C"	"P10987"	"A"
"FBgn0000043"	3825.41793388025	-0.370635746442952	0.201019287127884	-1.84378201583792	0.0652149146780595	0.0908201144718981	"Act42A"	"P02572"	"42A"
"FBgn0000044"	2.22017155852236	4.14126851659998	1.49282992948165	2.77410603499753	0.00553536330363033	0.00927475101702675	"Act57B"	"C8VV69"	"Act57"
"FBgn0000045"	2.83072408266979	-0.279530430214083	0.987472299925544	-0.28307673059301	0.777118018658729	0.816316825102581	"Act79B"	"M9PFZ6"	"143060_f_at"
"FBgn0000046"	926.858535460292	3.07161116982565	0.147116963165601	20.8787015700434	8.36337854963989e-97	3.55034192206916e-95	"Act87E"	"A0A0B4LH50"	"Act87e"
"FBgn0000047"	0.851934330350399	1.64518117039669	1.74598127535473	0.942267361980982	0.34605577365873	NA	"Act88F"	"B6IDW7"	"Act(88F)"
"FBgn0000052"	64.5519666553314	-0.634645013004261	0.48598870979768	-1.3058842730492	0.191591915591493	0.240400728317105	"ade2"	"P35421"	"153122_at"
"FBgn0000053"	138.003068552132	-1.46851445784848	0.318514746173056	-4.610506971789	4.0168816848927e-06	9.55879273545321e-06	"ade3"	"P00967"	"143062_at"
"FBgn0000057"	559.694237993694	2.21757448540039	0.31560274844994	7.02647393374056	2.11818129038917e-12	8.1926852649299e-12	"adp"	"Q7K7W5"	"CG5124"
"FBgn0000063"	140.008436517112	2.22551948940143	0.262610403252469	8.47460520161441	2.35878093858979e-17	1.21811822098761e-16	"Mps1"	"A0A0B4KG66"	"Ald/Mps1"
"FBgn0000064"	2457.78501350218	0.399672167127622	0.0983561402575634	4.06352024470468	4.8338127734897e-05	0.000103068705449488	"Ald"	"F3YDE2"	"ALD"
"FBgn0000071"	77.6830440702099	-3.81190471502004	0.652657059988431	-5.84059370335718	5.20151188132659e-09	1.59152106227788e-08	"Ama"	"A4V2I0"	"AMA"
"FBgn0000075"	1.06058252469255	0.850177788799785	1.43154871339323	0.593886733190233	0.552587872975889	0.612971161790797	"amd"	"H5V873"	"AMD-r"
