"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0000028"	146.397684937279	1.75237092096977	0.218418420177331	8.02299970646728	1.03193597126409e-15	4.80764951155689e-15	"acj6"	"P24350"	"ACJ6"
"FBgn0000032"	328.714583490696	0.786027441265912	0.120670724033266	6.51382054398899	7.32630189251653e-11	2.56483942552028e-10	"Acph-1"	"Q9VAD0"	"ACP"
"FBgn0000036"	10.381619876659	3.04692358243775	0.600350684561394	5.07523962376054	3.8700797552485e-07	1.01373545433597e-06	"nAChRalpha1"	"A0A0B4KGU3"	"ALS"
"FBgn0000037"	8.31410816403317	3.32921434849158	0.611840807714624	5.44130810909298	5.28907450557782e-08	1.49093692993314e-07	"mAChR-A"	"P16395"	"Acr60C"
"FBgn0000038"	30.8654926193158	2.31948899604791	0.354315915955273	6.54638668938797	5.89458346826464e-11	2.07317896547512e-10	"nAChRbeta1"	"E8NHB5"	"AChR"
"FBgn0000044"	2.22017155852236	4.14126851659998	1.49282992948165	2.77410603499753	0.00553536330363033	0.00927475101702675	"Act57B"	"C8VV69"	"Act57"
"FBgn0000046"	926.858535460292	3.07161116982565	0.147116963165601	20.8787015700434	8.36337854963989e-97	3.55034192206916e-95	"Act87E"	"A0A0B4LH50"	"Act87e"
"FBgn0000057"	559.694237993694	2.21757448540039	0.31560274844994	7.02647393374056	2.11818129038917e-12	8.1926852649299e-12	"adp"	"Q7K7W5"	"CG5124"
"FBgn0000063"	140.008436517112	2.22551948940143	0.262610403252469	8.47460520161441	2.35878093858979e-17	1.21811822098761e-16	"Mps1"	"A0A0B4KG66"	"Ald/Mps1"
"FBgn0000064"	2457.78501350218	0.399672167127622	0.0983561402575634	4.06352024470468	4.8338127734897e-05	0.000103068705449488	"Ald"	"F3YDE2"	"ALD"
"FBgn0000108"	32.6082382370416	1.59037303904424	0.318950303566183	4.98627222254465	6.15553987697584e-07	1.58000866059965e-06	"Appl"	"M9NE22"	"APP"
"FBgn0000114"	3005.76411406843	2.14084480154247	0.348178626368373	6.14869678783054	7.8122159182326e-10	2.54216331984085e-09	"bru1"	"Q960Z4"	"ARET"
