gsm	title	source name	organism
GSM2646960	dana_AC_f_r1	abdomen without digestive or reproductive system	Drosophila ananassae 
GSM2646961	dana_AC_f_r2	abdomen without digestive or reproductive system	Drosophila ananassae 
GSM2646962	dana_AC_f_r3	abdomen without digestive or reproductive system	Drosophila ananassae 
GSM2646963	dana_AC_m_r1	abdomen without digestive or reproductive system	Drosophila ananassae 
GSM2646964	dana_AC_m_r2	abdomen without digestive or reproductive system	Drosophila ananassae 
GSM2646965	dana_AC_m_r3	abdomen without digestive or reproductive system	Drosophila ananassae 
GSM2646966	dana_DG_f_r1	digestive plus excretory system	Drosophila ananassae 
GSM2646967	dana_DG_f_r2	digestive plus excretory system	Drosophila ananassae 
GSM2646968	dana_DG_f_r3	digestive plus excretory system	Drosophila ananassae 
GSM2646969	dana_DG_m_r1	digestive plus excretory system	Drosophila ananassae 
GSM2646970	dana_DG_m_r2	digestive plus excretory system	Drosophila ananassae 
GSM2646971	dana_DG_m_r3	digestive plus excretory system	Drosophila ananassae 
GSM2646972	dana_GO_f_r1	gonad	Drosophila ananassae 
GSM2646973	dana_GO_f_r2	gonad	Drosophila ananassae 
GSM2646974	dana_GO_f_r3	gonad	Drosophila ananassae 
GSM2646975	dana_GO_m_r1	gonad	Drosophila ananassae 
GSM2646976	dana_GO_m_r2	gonad	Drosophila ananassae 
GSM2646977	dana_GO_m_r3	gonad	Drosophila ananassae 
GSM2646978	dana_HD_f_r1	head	Drosophila ananassae 
GSM2646979	dana_HD_f_r2	head	Drosophila ananassae 
GSM2646980	dana_HD_f_r3	head	Drosophila ananassae 
GSM2646981	dana_HD_m_r1	head	Drosophila ananassae 
GSM2646982	dana_HD_m_r2	head	Drosophila ananassae 
GSM2646983	dana_HD_m_r3	head	Drosophila ananassae 
GSM2646984	dana_RE_f_r1	reproductive system without gonad	Drosophila ananassae 
GSM2646985	dana_RE_f_r2	reproductive system without gonad	Drosophila ananassae 
GSM2646986	dana_RE_f_r3	reproductive system without gonad	Drosophila ananassae 
GSM2646987	dana_RE_m_r1	reproductive system without gonad	Drosophila ananassae 
GSM2646988	dana_RE_m_r2	reproductive system without gonad	Drosophila ananassae 
GSM2646989	dana_RE_m_r3	reproductive system without gonad	Drosophila ananassae 
GSM2646990	dana_TX_f_r1	thorax without digestive system	Drosophila ananassae 
GSM2646991	dana_TX_f_r2	thorax without digestive system	Drosophila ananassae 
GSM2646992	dana_TX_f_r3	thorax without digestive system	Drosophila ananassae 
GSM2646993	dana_TX_m_r1	thorax without digestive system	Drosophila ananassae 
GSM2646994	dana_TX_m_r2	thorax without digestive system	Drosophila ananassae 
GSM2646995	dana_TX_m_r3	thorax without digestive system	Drosophila ananassae 
GSM2646996	dana_WB_f_r1	whole body	Drosophila ananassae 
GSM2646997	dana_WB_f_r2	whole body	Drosophila ananassae 
GSM2646998	dana_WB_f_r3	whole body	Drosophila ananassae 
GSM2646999	dana_WB_m_r1	whole body	Drosophila ananassae 
GSM2647000	dana_WB_m_r2	whole body	Drosophila ananassae 
GSM2647001	dana_WB_m_r3	whole body	Drosophila ananassae 
GSM2647002	dmoj_AC_f_r1	abdomen without digestive or reproductive system	Drosophila mojavensis 
GSM2647003	dmoj_AC_f_r2	abdomen without digestive or reproductive system	Drosophila mojavensis 
GSM2647004	dmoj_AC_f_r3	abdomen without digestive or reproductive system	Drosophila mojavensis 
GSM2647005	dmoj_AC_m_r1	abdomen without digestive or reproductive system	Drosophila mojavensis 
GSM2647006	dmoj_AC_m_r2	abdomen without digestive or reproductive system	Drosophila mojavensis 
GSM2647007	dmoj_AC_m_r3	abdomen without digestive or reproductive system	Drosophila mojavensis 
GSM2647008	dmoj_DG_f_r1	digestive plus excretory system	Drosophila mojavensis 
GSM2647009	dmoj_DG_f_r2	digestive plus excretory system	Drosophila mojavensis 
GSM2647010	dmoj_DG_f_r3	digestive plus excretory system	Drosophila mojavensis 
GSM2647011	dmoj_DG_m_r1	digestive plus excretory system	Drosophila mojavensis 
GSM2647012	dmoj_DG_m_r2	digestive plus excretory system	Drosophila mojavensis 
GSM2647013	dmoj_DG_m_r3	digestive plus excretory system	Drosophila mojavensis 
GSM2647014	dmoj_GO_f_r1	gonad	Drosophila mojavensis 
GSM2647015	dmoj_GO_f_r2	gonad	Drosophila mojavensis 
GSM2647016	dmoj_GO_f_r3	gonad	Drosophila mojavensis 
GSM2647017	dmoj_GO_m_r1	gonad	Drosophila mojavensis 
GSM2647018	dmoj_GO_m_r2	gonad	Drosophila mojavensis 
GSM2647019	dmoj_GO_m_r3	gonad	Drosophila mojavensis 
GSM2647020	dmoj_HD_f_r1	head	Drosophila mojavensis 
GSM2647021	dmoj_HD_f_r2	head	Drosophila mojavensis 
GSM2647022	dmoj_HD_f_r3	head	Drosophila mojavensis 
GSM2647023	dmoj_HD_m_r1	head	Drosophila mojavensis 
GSM2647024	dmoj_HD_m_r2	head	Drosophila mojavensis 
GSM2647025	dmoj_HD_m_r3	head	Drosophila mojavensis 
GSM2647026	dmoj_RE_f_r1	reproductive system without gonad	Drosophila mojavensis 
GSM2647027	dmoj_RE_f_r2	reproductive system without gonad	Drosophila mojavensis 
GSM2647028	dmoj_RE_f_r3	reproductive system without gonad	Drosophila mojavensis 
GSM2647029	dmoj_RE_m_r1	reproductive system without gonad	Drosophila mojavensis 
GSM2647030	dmoj_RE_m_r2	reproductive system without gonad	Drosophila mojavensis 
GSM2647031	dmoj_RE_m_r3	reproductive system without gonad	Drosophila mojavensis 
GSM2647032	dmoj_TX_f_r1	thorax without digestive system	Drosophila mojavensis 
GSM2647033	dmoj_TX_f_r2	thorax without digestive system	Drosophila mojavensis 
GSM2647034	dmoj_TX_f_r3	thorax without digestive system	Drosophila mojavensis 
GSM2647035	dmoj_TX_m_r1	thorax without digestive system	Drosophila mojavensis 
GSM2647036	dmoj_TX_m_r2	thorax without digestive system	Drosophila mojavensis 
GSM2647037	dmoj_TX_m_r3	thorax without digestive system	Drosophila mojavensis 
GSM2647038	dmoj_WB_f_r1	whole body	Drosophila mojavensis 
GSM2647039	dmoj_WB_f_r2	whole body	Drosophila mojavensis 
GSM2647040	dmoj_WB_f_r3	whole body	Drosophila mojavensis 
GSM2647041	dmoj_WB_m_r1	whole body	Drosophila mojavensis 
GSM2647042	dmoj_WB_m_r2	whole body	Drosophila mojavensis 
GSM2647043	dmoj_WB_m_r3	whole body	Drosophila mojavensis 
GSM2647044	dper_AC_f_r1	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647045	dper_AC_f_r2	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647046	dper_AC_f_r3	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647047	dper_AC_m_r1	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647048	dper_AC_m_r2	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647049	dper_AC_m_r3	abdomen without digestive or reproductive system	Drosophila persimilis
GSM2647050	dper_DG_f_r1	digestive plus excretory system	Drosophila persimilis
GSM2647051	dper_DG_f_r2	digestive plus excretory system	Drosophila persimilis
GSM2647052	dper_DG_f_r3	digestive plus excretory system	Drosophila persimilis
GSM2647053	dper_DG_m_r1	digestive plus excretory system	Drosophila persimilis
GSM2647054	dper_DG_m_r2	digestive plus excretory system	Drosophila persimilis
GSM2647055	dper_DG_m_r3	digestive plus excretory system	Drosophila persimilis
GSM2647056	dper_GO_f_r1	gonad	Drosophila persimilis
GSM2647057	dper_GO_f_r2	gonad	Drosophila persimilis
GSM2647058	dper_GO_f_r3	gonad	Drosophila persimilis
GSM2647059	dper_GO_m_r1	gonad	Drosophila persimilis
GSM2647060	dper_GO_m_r2	gonad	Drosophila persimilis
GSM2647061	dper_GO_m_r3	gonad	Drosophila persimilis
